ID	Concentration	Toxic	Dead_mites	Total	Proportion
1	0	1	0	4	0
2	0	1	0	4	0
3	0	1	1	4	0.25
4	0	1	0	4	0
5	0	1	0	4	0
6	0.25	1	2	4	0.5
7	0.25	1	1	4	0.25
8	0.25	1	3	4	0.75
9	0.25	1	2	4	0.5
10	0.25	1	1	4	0.25
11	0.5	1	3	4	0.75
12	0.5	1	4	4	1
13	0.5	1	3	4	0.75
14	0.5	1	2	4	0.5
15	0.5	1	4	4	1
16	1	1	3	4	0.75
17	1	1	4	4	1
18	1	1	3	4	0.75
19	1	1	4	4	1
20	1	1	2	4	0.5
21	2	1	4	4	1
22	2	1	4	4	1
23	2	1	4	4	1
24	2	1	4	4	1
25	2	1	4	4	1
26	0	2	0	5	0
27	0	2	0	5	0
28	0	2	1	5	0.2
29	0	2	0	5	0
30	0	2	0	5	0
31	0.12	2	3	5	0.6
32	0.12	2	2	5	0.4
33	0.12	2	3	5	0.6
34	0.12	2	4	5	0.8
35	0.12	2	4	5	0.8
36	0.24	2	4	5	0.8
37	0.24	2	5	5	1
38	0.24	2	3	5	0.6
39	0.24	2	3	5	0.6
40	0.24	2	3	5	0.6
41	0.49	2	5	5	1
42	0.49	2	4	5	0.8
43	0.49	2	5	5	1
44	0.49	2	5	5	1
45	0.49	2	4	5	0.8
46	0.98	2	5	5	1
47	0.98	2	5	5	1
48	0.98	2	5	5	1
49	0.98	2	5	5	1
50	0.98	2	5	5	1
51	0	3	1	3	0.333333333
52	0	3	0	3	0
53	0	3	0	3	0
54	0	3	1	3	0.333333333
55	0	3	0	3	0
56	0	3	0	3	0
57	0	3	1	3	0.333333333
58	0	3	0	3	0
59	0.25	3	2	3	0.666666667
60	0.25	3	2	3	0.666666667
61	0.25	3	2	3	0.666666667
62	0.25	3	1	3	0.333333333
63	0.25	3	1	3	0.333333333
64	0.25	3	3	3	1
65	0.25	3	1	3	0.333333333
66	0.25	3	1	3	0.333333333
67	0.5	3	3	3	1
68	0.5	3	2	3	0.666666667
69	0.5	3	3	3	1
70	0.5	3	3	3	1
71	0.5	3	3	3	1
72	0.5	3	2	3	0.666666667
73	0.5	3	2	3	0.666666667
74	0.5	3	3	3	1
75	0.75	3	3	3	1
76	0.75	3	3	3	1
77	0.75	3	2	3	0.666666667
78	0.75	3	3	3	1
79	0.75	3	3	3	1
80	0.75	3	3	3	1
81	0.75	3	2	3	0.666666667
82	0.75	3	3	3	1
83	1	3	3	3	1
84	1	3	3	3	1
85	1	3	2	3	0.666666667
86	1	3	3	3	1
87	1	3	3	3	1
88	1	3	3	3	1
89	1	3	3	3	1
90	1	3	3	3	1
91	0	4	0	5	0
92	0	4	0	5	0
93	0	4	0	5	0
94	0	4	0	5	0
95	0	4	1	5	0.2
96	0.54	4	3	5	0.6
97	0.54	4	1	5	0.2
98	0.54	4	2	5	0.4
99	0.54	4	2	5	0.4
100	0.54	4	4	5	0.8
101	1.08	4	3	5	0.6
102	1.08	4	5	5	1
103	1.08	4	4	5	0.8
104	1.08	4	4	5	0.8
105	1.08	4	4	5	0.8
106	1.62	4	5	5	1
107	1.62	4	5	5	1
108	1.62	4	2	5	0.4
109	1.62	4	4	5	0.8
110	1.62	4	5	5	1
111	2.16	4	5	5	1
112	2.16	4	4	5	0.8
113	2.16	4	5	5	1
114	2.16	4	4	5	0.8
115	2.16	4	5	5	1
