,Family,Father,Mother,Gender,Height,Kids,Parent.avg
1,1,199.39,170.18,M,185.928,4,184.785
2,1,199.39,170.18,F,175.768,4,184.785
3,1,199.39,170.18,F,175.26,4,184.785
4,1,199.39,170.18,F,175.26,4,184.785
5,2,191.77,168.91,M,186.69,4,180.34
6,2,191.77,168.91,M,184.15,4,180.34
7,2,191.77,168.91,F,166.37,4,180.34
8,2,191.77,168.91,F,166.37,4,180.34
9,3,190.5,162.56,M,180.34,2,176.53
10,3,190.5,162.56,F,172.72,2,176.53
11,4,190.5,162.56,M,179.07,5,176.53
12,4,190.5,162.56,M,173.99,5,176.53
13,4,190.5,162.56,F,170.18,5,176.53
14,4,190.5,162.56,F,163.83,5,176.53
15,4,190.5,162.56,F,160.02,5,176.53
16,5,190.5,148.59,M,182.88,6,169.545
17,5,190.5,148.59,M,175.26,6,169.545
18,5,190.5,148.59,M,172.72,6,169.545
19,5,190.5,148.59,F,168.91,6,169.545
20,5,190.5,148.59,F,158.75,6,169.545
21,5,190.5,148.59,F,158.75,6,169.545
22,6,187.96,172.72,F,176.53,1,180.34
23,7,187.96,172.72,M,194.31,6,180.34
24,7,187.96,172.72,M,187.96,6,180.34
25,7,187.96,172.72,M,185.42,6,180.34
26,7,187.96,172.72,M,185.42,6,180.34
27,7,187.96,172.72,F,179.07,6,180.34
28,7,187.96,172.72,F,162.56,6,180.34
29,8,187.96,168.91,F,179.07,3,178.435
30,8,187.96,168.91,F,172.72,3,178.435
31,8,187.96,168.91,F,167.64,3,178.435
32,9,189.23,167.64,F,167.64,1,178.435
33,10,187.96,166.37,F,166.37,1,177.165
34,11,187.96,157.48,M,187.96,8,172.72
35,11,187.96,157.48,M,177.8,8,172.72
36,11,187.96,157.48,F,172.72,8,172.72
37,11,187.96,157.48,F,170.18,8,172.72
38,11,187.96,157.48,F,170.18,8,172.72
39,11,187.96,157.48,F,167.64,8,172.72
40,11,187.96,157.48,F,161.29,8,172.72
41,11,187.96,157.48,F,160.02,8,172.72
42,12,187.96,154.94,F,165.1,1,171.45
43,14,185.42,170.18,M,172.72,2,177.8
