"","presence","year","julianday","tideangle_deg","mh","mon","Per2","Per4","Time6","Tide4"
"31458",0,2014,59,247,8,2,"RestOfYear","RestOfYear","AM2","4"
"14027",1,2011,226,356,13,8,"RestOfYear","RestOfYear","MDay","1"
"40551",0,2015,80,176,7,3,"RestOfYear","RestOfYear","AM2","3"
"40456",0,2015,76,299,8,3,"RestOfYear","RestOfYear","AM2","4"
"15894",1,2011,312,127,3,11,"RestOfYear","RestOfYear","AM1","2"
"13109",0,2011,188,75,7,7,"RestOfYear","RestOfYear","AM2","2"
"23797",0,2013,102,44,3,4,"RestOfYear","RestOfYear","AM1","1"
"6053",0,2010,256,73,6,9,"RestOfYear","RestOfYear","AM1","2"
"23445",0,2012,327,180,14,11,"RestOfYear","RestOfYear","MDay","3"
"34584",0,2014,192,103,15,7,"RestOfYear","RestOfYear","PM1","2"
"39770",0,2015,47,230,18,2,"RestOfYear","RestOfYear","PM1","4"
"43588",0,2015,208,354,21,7,"RestOfYear","RestOfYear","PM2","1"
"20502",0,2012,203,260,23,7,"RestOfYear","RestOfYear","MNight","4"
"15375",0,2011,282,170,17,10,"RestOfYear","RestOfYear","PM1","3"
"11131",0,2011,104,346,21,4,"RestOfYear","RestOfYear","PM2","1"
"18682",1,2012,127,87,3,5,"MayJun","MayJun1","AM1","2"
"37667",1,2014,321,183,2,11,"RestOfYear","RestOfYear","MNight","3"
"6633",0,2010,281,285,10,10,"RestOfYear","RestOfYear","AM2","4"
"17642",0,2012,19,52,23,1,"RestOfYear","RestOfYear","MNight","2"
"4874",0,2010,207,72,3,7,"RestOfYear","RestOfYear","AM1","2"
"21180",1,2012,232,110,5,8,"RestOfYear","RestOfYear","AM1","2"
"46442",0,2015,328,227,19,11,"RestOfYear","RestOfYear","PM2","4"
"44191",0,2015,233,225,24,8,"RestOfYear","RestOfYear","MNight","3"
"1871",0,2010,80,215,23,3,"RestOfYear","RestOfYear","MNight","3"
"23654",0,2013,96,195,4,4,"RestOfYear","RestOfYear","AM1","3"
"7289",0,2010,308,206,18,11,"RestOfYear","RestOfYear","PM1","3"
"13367",1,2011,199,311,1,7,"RestOfYear","RestOfYear","MNight","4"
"44983",0,2015,266,119,24,9,"RestOfYear","RestOfYear","MNight","2"
